name	pocet	procent	iczuj	kandidatu
sar	5	0.14285714285714285	594555.tsv	35
sles	5	0.11904761904761904	594211.tsv	42
miklovic	5	0.14285714285714285	563072.tsv	35
veseck	5	0.09259259259259259	530301.tsv	54
mikesk	5	0.06493506493506493	585998.tsv	77
kos	5	0.5555555555555556	561240.tsv	9
mach	5	0.25	585980.tsv	20
halfar	5	0.05102040816326531	507504.tsv	98
demeter	5	0.09615384615384616	560685.tsv	52
obadal	5	0.0625	585955.tsv	80
hnanicek	5	0.05555555555555555	585831.tsv	90
ledvin	5	0.11363636363636363	554341.tsv	44
smyck	5	0.16666666666666666	552372.tsv	30
novak	5	0.06666666666666667	552534.tsv	75
fojtik	5	0.15151515151515152	585548.tsv	33
sikor	5	0.056818181818181816	598062.tsv	88
hojgr	5	0.09615384615384616	554146.tsv	52
vachal	5	0.09090909090909091	554138.tsv	55
krajc	4	0.06451612903225806	500011.tsv	62
stipcak	4	0.09523809523809523	586455.tsv	42
batyst	4	0.2857142857142857	536822.tsv	14
cihal	4	0.08888888888888889	516201.tsv	45
ruzick	4	0.26666666666666666	516635.tsv	15
gregor	4	0.13333333333333333	595772.tsv	30
galas	4	0.14814814814814814	517101.tsv	27
sykor	4	0.125	537080.tsv	32
skopal	4	0.08888888888888889	517151.tsv	45
vlach	4	0.19047619047619047	517666.tsv	21
brzak	4	0.125	537292.tsv	32
gregovsk	4	0.06666666666666667	519651.tsv	60
kratochvil	4	0.10256410256410256	586129.tsv	39
veverk	4	0.058823529411764705	586102.tsv	68
jenik	4	0.14814814814814814	537942.tsv	27
slab	4	0.1111111111111111	586099.tsv	36
dvorak	4	0.06666666666666667	538311.tsv	60
pustejovsk	4	0.06779661016949153	599603.tsv	59
rih	4	0.09090909090909091	538477.tsv	44
srn	4	0.08888888888888889	538582.tsv	45
humlicek	4	0.2222222222222222	595578.tsv	18
pozar	4	0.12121212121212122	595501.tsv	33
svancar	4	0.06666666666666667	505145.tsv	60
sykor	4	0.23529411764705882	595276.tsv	17
kincl	4	0.16	595110.tsv	25
holb	4	0.2222222222222222	585530.tsv	18
juric	4	0.08888888888888889	599832.tsv	45
kovar	4	0.14814814814814814	585301.tsv	27
foldyn	4	0.08	598445.tsv	50
muller	4	0.18181818181818182	529745.tsv	22
krepel	4	0.2222222222222222	594768.tsv	18
